Row ID	Order ID	Order ID - Split 1	Order Date
1	CA-2016-152156	CA	11/8/2016
2	CA-2016-152156	CA	11/8/2016
3	CA-2016-138688	CA	6/12/2016
4	US-2015-108966	US	10/11/2015
5	US-2015-108966	US	10/11/2015
6	CA-2014-115812	CA	6/9/2014
7	CA-2014-115812	CA	6/9/2014
8	CA-2014-115812	CA	6/9/2014
9	CA-2014-115812	CA	6/9/2014
10	CA-2014-115812	CA	6/9/2014
11	CA-2014-115812	CA	6/9/2014
12	CA-2014-115812	CA	6/9/2014
13	CA-2017-114412	CA	4/15/2017
14	CA-2016-161389	CA	12/5/2016
15	US-2015-118983	US	11/22/2015
16	US-2015-118983	US	11/22/2015
17	CA-2014-105893	CA	11/11/2014
18	CA-2014-167164	CA	5/13/2014
19	CA-2014-143336	CA	8/27/2014
20	CA-2014-143336	CA	8/27/2014
21	CA-2014-143336	CA	8/27/2014
22	CA-2016-137330	CA	12/9/2016
23	CA-2016-137330	CA	12/9/2016
24	US-2017-156909	US	7/16/2017
25	CA-2015-106320	CA	9/25/2015
26	CA-2016-121755	CA	1/16/2016
27	CA-2016-121755	CA	1/16/2016
28	US-2015-150630	US	9/17/2015
29	US-2015-150630	US	9/17/2015
30	US-2015-150630	US	9/17/2015
31	US-2015-150630	US	9/17/2015
32	US-2015-150630	US	9/17/2015
33	US-2015-150630	US	9/17/2015
34	US-2015-150630	US	9/17/2015
35	CA-2017-107727	CA	10/19/2017
36	CA-2016-117590	CA	12/8/2016
37	CA-2016-117590	CA	12/8/2016
38	CA-2015-117415	CA	12/27/2015
39	CA-2015-117415	CA	12/27/2015
40	CA-2015-117415	CA	12/27/2015
41	CA-2015-117415	CA	12/27/2015
42	CA-2017-120999	CA	9/10/2017
43	CA-2016-101343	CA	7/17/2016
44	CA-2017-139619	CA	9/19/2017
45	CA-2016-118255	CA	3/11/2016
46	CA-2016-118255	CA	3/11/2016
47	CA-2014-146703	CA	10/20/2014
48	CA-2016-169194	CA	6/20/2016
49	CA-2016-169194	CA	6/20/2016
50	CA-2015-115742	CA	4/18/2015
51	CA-2015-115742	CA	4/18/2015
52	CA-2015-115742	CA	4/18/2015
53	CA-2015-115742	CA	4/18/2015
54	CA-2016-105816	CA	12/11/2016
55	CA-2016-105816	CA	12/11/2016
56	CA-2016-111682	CA	6/17/2016
57	CA-2016-111682	CA	6/17/2016
58	CA-2016-111682	CA	6/17/2016
59	CA-2016-111682	CA	6/17/2016
60	CA-2016-111682	CA	6/17/2016
61	CA-2016-111682	CA	6/17/2016
62	CA-2016-111682	CA	6/17/2016
63	CA-2015-135545	CA	11/24/2015
64	CA-2015-135545	CA	11/24/2015
65	CA-2015-135545	CA	11/24/2015
66	CA-2015-135545	CA	11/24/2015
67	US-2015-164175	US	4/30/2015
68	CA-2014-106376	CA	12/5/2014
69	CA-2014-106376	CA	12/5/2014
70	CA-2016-119823	CA	6/4/2016
71	CA-2016-106075	CA	9/18/2016
72	CA-2017-114440	CA	9/14/2017
73	US-2015-134026	US	4/26/2015
74	US-2015-134026	US	4/26/2015
75	US-2015-134026	US	4/26/2015
76	US-2017-118038	US	12/9/2017
77	US-2017-118038	US	12/9/2017
78	US-2017-118038	US	12/9/2017
79	US-2014-147606	US	11/26/2014
80	CA-2016-127208	CA	6/12/2016
81	CA-2016-127208	CA	6/12/2016
82	CA-2014-139451	CA	10/12/2014
83	CA-2014-139451	CA	10/12/2014
84	CA-2015-149734	CA	9/3/2015
85	US-2017-119662	US	11/13/2017
86	CA-2017-140088	CA	5/28/2017
87	CA-2017-155558	CA	10/26/2017
88	CA-2017-155558	CA	10/26/2017
89	CA-2016-159695	CA	4/5/2016
90	CA-2016-109806	CA	9/17/2016
91	CA-2016-109806	CA	9/17/2016
92	CA-2016-109806	CA	9/17/2016
93	CA-2015-149587	CA	1/31/2015
94	CA-2015-149587	CA	1/31/2015
95	CA-2015-149587	CA	1/31/2015
96	US-2017-109484	US	11/6/2017
97	CA-2017-161018	CA	11/9/2017
98	CA-2017-157833	CA	6/17/2017
99	CA-2016-149223	CA	9/6/2016
100	CA-2016-158568	CA	8/29/2016
101	CA-2016-158568	CA	8/29/2016
102	CA-2016-158568	CA	8/29/2016
103	CA-2016-129903	CA	12/1/2016
104	US-2015-156867	US	11/13/2015
105	US-2015-156867	US	11/13/2015
106	US-2015-156867	US	11/13/2015
107	CA-2017-119004	CA	11/23/2017
108	CA-2017-119004	CA	11/23/2017
109	CA-2017-119004	CA	11/23/2017
110	CA-2015-129476	CA	10/15/2015
111	CA-2017-146780	CA	12/25/2017
112	CA-2016-128867	CA	11/3/2016
113	CA-2016-128867	CA	11/3/2016
114	CA-2014-115259	CA	8/25/2014
115	CA-2014-115259	CA	8/25/2014
116	CA-2014-115259	CA	8/25/2014
117	CA-2014-115259	CA	8/25/2014
118	CA-2015-110457	CA	3/2/2015
119	US-2015-136476	US	4/5/2015
120	CA-2016-103730	CA	6/12/2016
121	CA-2016-103730	CA	6/12/2016
122	CA-2016-103730	CA	6/12/2016
123	CA-2016-103730	CA	6/12/2016
124	CA-2016-103730	CA	6/12/2016
125	US-2014-152030	US	12/26/2014
126	US-2014-134614	US	9/20/2014
127	US-2017-107272	US	11/5/2017
128	US-2017-107272	US	11/5/2017
129	US-2016-125969	US	11/6/2016
130	US-2016-125969	US	11/6/2016
131	US-2017-164147	US	2/2/2017
132	US-2017-164147	US	2/2/2017
133	US-2017-164147	US	2/2/2017
134	CA-2016-145583	CA	10/13/2016
135	CA-2016-145583	CA	10/13/2016
136	CA-2016-145583	CA	10/13/2016
137	CA-2016-145583	CA	10/13/2016
138	CA-2016-145583	CA	10/13/2016
139	CA-2016-145583	CA	10/13/2016
140	CA-2016-145583	CA	10/13/2016
141	CA-2016-110366	CA	9/5/2016
142	CA-2017-106180	CA	9/18/2017
143	CA-2017-106180	CA	9/18/2017
144	CA-2017-106180	CA	9/18/2017
145	CA-2017-155376	CA	12/22/2017
146	CA-2015-110744	CA	9/7/2015
147	CA-2014-110072	CA	10/22/2014
148	CA-2016-114489	CA	12/5/2016
149	CA-2016-114489	CA	12/5/2016
150	CA-2016-114489	CA	12/5/2016
151	CA-2016-114489	CA	12/5/2016
152	CA-2016-158834	CA	3/13/2016
153	CA-2016-158834	CA	3/13/2016
154	CA-2015-124919	CA	5/31/2015
155	CA-2015-124919	CA	5/31/2015
156	CA-2015-124919	CA	5/31/2015
157	CA-2015-118948	CA	5/28/2015
158	CA-2014-104269	CA	3/1/2014
159	CA-2016-114104	CA	11/20/2016
160	CA-2016-114104	CA	11/20/2016
161	CA-2016-162733	CA	5/11/2016
162	CA-2015-119697	CA	12/28/2015
163	CA-2016-154508	CA	11/16/2016
164	CA-2016-113817	CA	11/7/2016
165	CA-2014-139892	CA	9/8/2014
166	CA-2014-139892	CA	9/8/2014
167	CA-2014-139892	CA	9/8/2014
168	CA-2014-139892	CA	9/8/2014
169	CA-2014-139892	CA	9/8/2014
170	CA-2014-139892	CA	9/8/2014
171	CA-2014-139892	CA	9/8/2014
172	CA-2014-118962	CA	8/5/2014
173	CA-2014-118962	CA	8/5/2014
174	CA-2014-118962	CA	8/5/2014
175	US-2014-100853	US	9/14/2014
176	US-2014-100853	US	9/14/2014
177	US-2017-152366	US	4/21/2017
178	US-2015-101511	US	11/21/2015
179	US-2015-101511	US	11/21/2015
180	CA-2015-137225	CA	12/15/2015
181	CA-2014-166191	CA	12/5/2014
182	CA-2014-166191	CA	12/5/2014
183	CA-2014-158274	CA	11/19/2014
184	CA-2014-158274	CA	11/19/2014
185	CA-2014-158274	CA	11/19/2014
186	CA-2016-105018	CA	11/28/2016
187	CA-2014-123260	CA	8/26/2014
188	CA-2016-157000	CA	7/16/2016
189	CA-2016-157000	CA	7/16/2016
190	CA-2015-102281	CA	10/12/2015
191	CA-2015-102281	CA	10/12/2015
192	CA-2015-102281	CA	10/12/2015
193	CA-2015-102281	CA	10/12/2015
194	CA-2015-102281	CA	10/12/2015
195	CA-2015-131457	CA	10/31/2015
196	CA-2014-140004	CA	3/21/2014
197	CA-2014-140004	CA	3/21/2014
198	CA-2017-107720	CA	11/6/2017
199	US-2017-124303	US	7/6/2017
200	US-2017-124303	US	7/6/2017
201	CA-2017-105074	CA	6/24/2017
202	CA-2014-133690	CA	8/3/2014
203	CA-2014-133690	CA	8/3/2014
204	US-2017-116701	US	12/17/2017
205	CA-2017-126382	CA	6/3/2017
206	CA-2017-108329	CA	12/9/2017
207	CA-2017-135860	CA	12/1/2017
208	CA-2017-135860	CA	12/1/2017
209	CA-2017-135860	CA	12/1/2017
210	CA-2017-135860	CA	12/1/2017
211	CA-2017-135860	CA	12/1/2017
212	CA-2015-101007	CA	2/9/2015
213	CA-2015-146262	CA	1/2/2015
214	CA-2015-146262	CA	1/2/2015
215	CA-2015-146262	CA	1/2/2015
216	CA-2015-146262	CA	1/2/2015
217	CA-2015-146262	CA	1/2/2015
218	CA-2016-130162	CA	10/28/2016
219	CA-2016-130162	CA	10/28/2016
220	CA-2015-169397	CA	12/24/2015
221	CA-2015-169397	CA	12/24/2015
222	CA-2015-169397	CA	12/24/2015
223	CA-2015-169397	CA	12/24/2015
224	CA-2015-169397	CA	12/24/2015
225	CA-2015-169397	CA	12/24/2015
226	CA-2015-163055	CA	8/9/2015
227	CA-2015-163055	CA	8/9/2015
228	CA-2015-163055	CA	8/9/2015
229	US-2015-145436	US	2/28/2015
230	US-2015-145436	US	2/28/2015
231	US-2014-156216	US	9/13/2014
232	US-2017-100930	US	4/7/2017
233	US-2017-100930	US	4/7/2017
234	US-2017-100930	US	4/7/2017
235	US-2017-100930	US	4/7/2017
236	US-2017-100930	US	4/7/2017
237	CA-2017-160514	CA	11/12/2017
238	CA-2016-157749	CA	6/4/2016
239	CA-2016-157749	CA	6/4/2016
240	CA-2016-157749	CA	6/4/2016
241	CA-2016-157749	CA	6/4/2016
242	CA-2016-157749	CA	6/4/2016
243	CA-2016-157749	CA	6/4/2016
244	CA-2016-157749	CA	6/4/2016
245	CA-2014-131926	CA	6/1/2014
246	CA-2014-131926	CA	6/1/2014
247	CA-2014-131926	CA	6/1/2014
248	CA-2014-131926	CA	6/1/2014
249	CA-2014-131926	CA	6/1/2014
250	CA-2016-154739	CA	12/10/2016
251	CA-2016-145625	CA	9/11/2016
252	CA-2016-145625	CA	9/11/2016
253	CA-2016-146941	CA	12/10/2016
254	CA-2016-146941	CA	12/10/2016
255	US-2015-159982	US	11/28/2015
256	US-2015-159982	US	11/28/2015
257	US-2015-159982	US	11/28/2015
258	US-2015-159982	US	11/28/2015
259	CA-2017-163139	CA	12/1/2017
260	CA-2017-163139	CA	12/1/2017
261	CA-2017-163139	CA	12/1/2017
262	US-2017-155299	US	6/8/2017
